split,source_index,dataset,task
conformal-calib,3641,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,6323,Income and Happiness Score Dataset,Descriptive Statistics
conformal-calib,5954,University Rank Dataset,Descriptive Statistics
conformal-calib,7714,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,6155,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,6583,Students New MRW Score Dataset,Descriptive Statistics
conformal-calib,5614,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,2183,Dataset for Admission in the University,Descriptive Statistics
conformal-calib,3238,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,5646,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,8805,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,9090,Obesity or CVD Risk Dataset,Variance Test
conformal-calib,10159,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,10317,Crop Production Dataset,Variance Test
conformal-calib,4339,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,6248,Crop Production Dataset,Variance Test
conformal-calib,938,Exercise and Fitness Metrics Dataset,Correlation Analysis
conformal-calib,9995,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,2383,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,567,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,6620,Pokedex Dataset,Descriptive Statistics
conformal-calib,2591,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,3387,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,3619,Exercise and Fitness Metrics Dataset,Distribution Compliance Test
conformal-calib,6628,Los Angeles Library Monthly Statistics,Descriptive Statistics
conformal-calib,780,Bank Customer Churn Prediction Dataset,Descriptive Statistics
conformal-calib,8915,Crop Production Dataset,Variance Test
conformal-calib,6423,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,2729,GPA Study Hours Dataset,Descriptive Statistics
conformal-calib,3847,Advertising Budget and Sales Dataset,Descriptive Statistics
conformal-calib,1767,Dataset for Admission in the University,Variance Test
conformal-calib,4270,Crop Production Dataset,Descriptive Statistics
conformal-calib,1856,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,7319,Real Estate Valuation Dataset,Descriptive Statistics
conformal-calib,3647,Pokedex Dataset,Correlation Analysis
conformal-calib,5926,Students Math-Reading-Writing Performance Dataset,Descriptive Statistics
conformal-calib,4984,Crop Production Dataset,Distribution Compliance Test
conformal-calib,474,Crop Production Dataset,Descriptive Statistics
conformal-calib,4242,Pokedex Dataset,Descriptive Statistics
conformal-calib,1558,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,5947,Los Angeles Library Monthly Statistics,Distribution Compliance Test
conformal-calib,2210,Student Information and Grades Dataset,Distribution Compliance Test
conformal-calib,4861,FIFA Official Dataset 2023,Correlation Analysis
conformal-calib,162,Students New MRW Score Dataset,Correlation Analysis
conformal-calib,329,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,9656,Heart Failure Prediction Dataset,Descriptive Statistics
conformal-calib,940,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,5191,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,6661,Pokedex Dataset,Correlation Analysis
conformal-calib,10270,University Rank Dataset,Distribution Compliance Test
conformal-calib,6826,Used Car Dataset,Descriptive Statistics
conformal-calib,3466,Los Angeles Library Monthly Statistics,Correlation Analysis
conformal-calib,5766,Students New MRW Score Dataset,Distribution Compliance Test
conformal-calib,7445,Dataset for Admission in the University,Variance Test
conformal-calib,5454,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,8965,Los Angeles Library Monthly Statistics,Distribution Compliance Test
conformal-calib,1559,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,933,Terrorist Attacks Dataset,Descriptive Statistics
conformal-calib,764,US Christmas Tree Sales Dataset,Descriptive Statistics
conformal-calib,492,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,521,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,469,Stroke Prediction Dataset,Variance Test
conformal-calib,2097,Rainfall Dataset of Barak Velly,Descriptive Statistics
conformal-calib,687,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,4140,Pokedex Dataset,Descriptive Statistics
conformal-calib,9542,Bank Customer Churn Prediction Dataset,Descriptive Statistics
conformal-calib,1452,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,2555,Pokedex Dataset,Descriptive Statistics
conformal-calib,9208,Crop Production Dataset,Distribution Compliance Test
conformal-calib,8868,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,4120,Rainfall Dataset of Barak Velly,Descriptive Statistics
conformal-calib,1857,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,7678,Exercise and Fitness Metrics Dataset,Distribution Compliance Test
conformal-calib,5761,Crop Production Dataset,Variance Test
conformal-calib,3405,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,950,Salary Dataset by Job Title and Country,Distribution Compliance Test
conformal-calib,10034,Pokedex Dataset,Contingency Table Test
conformal-calib,8024,University Rank Dataset,Descriptive Statistics
conformal-calib,813,Crop Production Dataset,Descriptive Statistics
conformal-calib,5337,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,7576,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,250,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,3744,Crop Production Dataset,Distribution Compliance Test
conformal-calib,2482,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,5175,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,7938,Obesity or CVD Risk Dataset,Correlation Analysis
conformal-calib,4476,Dataset for Admission in the University,Correlation Analysis
conformal-calib,10237,Students Math-Reading-Writing Performance Dataset,Distribution Compliance Test
conformal-calib,8574,Real Estate Valuation Dataset,Distribution Compliance Test
conformal-calib,4357,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,10432,Bank Customer Churn Prediction Dataset,Descriptive Statistics
conformal-calib,7518,Income and Happiness Score Dataset,Variance Test
conformal-calib,3773,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,2870,Heart Failure Prediction Dataset,Descriptive Statistics
conformal-calib,1193,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,1367,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,6133,FIFA Official Dataset 2023,Variance Test
conformal-calib,2657,Los Angeles Library Monthly Statistics,Correlation Analysis
conformal-calib,5109,Income and Happiness Score Dataset,Variance Test
conformal-calib,3942,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,841,Obesity or CVD Risk Dataset,Variance Test
conformal-calib,6047,Monroe County Car Crach Dataset,Descriptive Statistics
conformal-calib,6282,Dataset for Admission in the University,Descriptive Statistics
conformal-calib,9990,Exercise and Fitness Metrics Dataset,Descriptive Statistics
conformal-calib,4337,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,10343,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,3308,Crop Production Dataset,Distribution Compliance Test
conformal-calib,7026,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,338,Dataset for Admission in the University,Descriptive Statistics
conformal-calib,6035,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,969,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,6549,Lung Cancer Survey Dataset,Descriptive Statistics
conformal-calib,2885,Bank Customer Churn Prediction Dataset,Variance Test
conformal-calib,1177,2023 Netflix Engagement Dataset,Correlation Analysis
conformal-calib,7465,Crop Production Dataset,Descriptive Statistics
conformal-calib,8707,Video Games Sales Dataset,Distribution Compliance Test
conformal-calib,2805,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,2435,Students New MRW Score Dataset,Distribution Compliance Test
conformal-calib,7808,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,2955,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,2766,Pokedex Dataset,Descriptive Statistics
conformal-calib,4205,FIFA Official Dataset 2023,Variance Test
conformal-calib,8772,Grades of Students Dataset,Descriptive Statistics
conformal-calib,8901,Monroe County Car Crach Dataset,Contingency Table Test
conformal-calib,2910,Crop Production Dataset,Variance Test
conformal-calib,7617,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,7273,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,3820,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,2863,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,5971,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,10081,Crop Production Dataset,Distribution Compliance Test
conformal-calib,3529,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,7682,Exercise and Fitness Metrics Dataset,Correlation Analysis
conformal-calib,389,Crop Production Dataset,Variance Test
conformal-calib,8369,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,2062,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,8910,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,3216,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,5318,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,3838,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,5300,Pokedex Dataset,Correlation Analysis
conformal-calib,8246,Students New MRW Score Dataset,Distribution Compliance Test
conformal-calib,5637,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,8362,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,3394,Bank Customer Churn Prediction Dataset,Variance Test
conformal-calib,790,Crop Production Dataset,Distribution Compliance Test
conformal-calib,9551,Jobs and Salaries Dataset,Variance Test
conformal-calib,3300,Video Games Sales Dataset,Descriptive Statistics
conformal-calib,5931,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,8878,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,4812,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,3684,Monroe County Car Crach Dataset,Distribution Compliance Test
conformal-calib,4257,Dataset for Admission in the University,Variance Test
conformal-calib,7555,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,6544,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,9223,Student Performance Prediction Dataset,Variance Test
conformal-calib,7860,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,6274,Income and Happiness Score Dataset,Distribution Compliance Test
conformal-calib,8764,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,9808,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,199,Pokedex Dataset,Correlation Analysis
conformal-calib,5687,Crop Production Dataset,Variance Test
conformal-calib,1934,FIFA Official Dataset 2023,Distribution Compliance Test
conformal-calib,3253,Crop Production Dataset,Distribution Compliance Test
conformal-calib,9526,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,2908,Rainfall Dataset of Barak Velly,Variance Test
conformal-calib,9842,Rainfall Dataset of Barak Velly,Descriptive Statistics
conformal-calib,6986,Income and Happiness Score Dataset,Descriptive Statistics
conformal-calib,498,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,6251,FIFA Official Dataset 2023,Variance Test
conformal-calib,6842,Income and Happiness Score Dataset,Distribution Compliance Test
conformal-calib,9904,Grades of Students Dataset,Distribution Compliance Test
conformal-calib,9282,Student Performance Prediction Dataset,Variance Test
conformal-calib,7042,Crop Production Dataset,Variance Test
conformal-calib,6457,Heart Failure Prediction Dataset,Descriptive Statistics
conformal-calib,7787,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,10254,Obesity or CVD Risk Dataset,Correlation Analysis
conformal-calib,6308,Crop Production Dataset,Variance Test
conformal-calib,5538,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,3570,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,9550,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,3009,FIFA Official Dataset 2023,Distribution Compliance Test
conformal-calib,5951,Student Performance Prediction Dataset,Variance Test
conformal-calib,10359,Customer Personality Analysis Dataset,Contingency Table Test
conformal-calib,6922,Crop Production Dataset,Variance Test
conformal-calib,2327,Pokedex Dataset,Contingency Table Test
conformal-calib,342,Salary Dataset by Job Title and Country,Contingency Table Test
conformal-calib,6774,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,61,Obesity or CVD Risk Dataset,Distribution Compliance Test
conformal-calib,2712,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,1176,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,7076,Heart Failure Prediction Dataset,Descriptive Statistics
conformal-calib,8629,FIFA Official Dataset 2023,Variance Test
conformal-calib,9558,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,9629,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,1541,University Rank Dataset,Distribution Compliance Test
conformal-calib,6983,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,5041,Crop Production Dataset,Distribution Compliance Test
conformal-calib,6263,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,1170,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,5647,Crop Production Dataset,Variance Test
conformal-calib,1462,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,309,Grades of Students Dataset,Descriptive Statistics
conformal-calib,3885,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,7873,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,8342,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,1576,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,8022,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,7943,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,2693,Pokedex Dataset,Variance Test
conformal-calib,2126,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,2557,Crop Production Dataset,Variance Test
conformal-calib,5223,Salary Dataset by Job Title and Country,Contingency Table Test
conformal-calib,174,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,5659,Stroke Prediction Dataset,Distribution Compliance Test
conformal-calib,791,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,2735,Pokedex Dataset,Variance Test
conformal-calib,7722,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,9991,Crop Production Dataset,Descriptive Statistics
conformal-calib,2963,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,8847,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,5174,Customer Personality Analysis Dataset,Descriptive Statistics
conformal-calib,2836,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,1832,Students New MRW Score Dataset,Distribution Compliance Test
conformal-calib,6677,Pokedex Dataset,Contingency Table Test
conformal-calib,9039,Students New MRW Score Dataset,Distribution Compliance Test
conformal-calib,2880,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,5471,Housing Price Dataset,Distribution Compliance Test
conformal-calib,10179,Crop Production Dataset,Distribution Compliance Test
conformal-calib,5987,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,2522,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,4241,Crop Production Dataset,Variance Test
conformal-calib,598,Students New MRW Score Dataset,Descriptive Statistics
conformal-calib,9306,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,801,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,8791,Student Performance Prediction Dataset,Variance Test
conformal-calib,9619,Crop Production Dataset,Descriptive Statistics
conformal-calib,8676,Crop Production Dataset,Variance Test
conformal-calib,6253,Pokedex Dataset,Distribution Compliance Test
conformal-calib,189,Crop Production Dataset,Variance Test
conformal-calib,8869,Grades of Students Dataset,Descriptive Statistics
conformal-calib,8374,Advertising Budget and Sales Dataset,Descriptive Statistics
conformal-calib,1021,Pokedex Dataset,Descriptive Statistics
conformal-calib,10338,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,2753,Los Angeles Library Monthly Statistics,Descriptive Statistics
conformal-calib,4742,Crop Production Dataset,Distribution Compliance Test
conformal-calib,3457,Income and Happiness Score Dataset,Variance Test
conformal-calib,7195,Stroke Prediction Dataset,Distribution Compliance Test
conformal-calib,2809,Income and Happiness Score Dataset,Distribution Compliance Test
conformal-calib,4360,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,304,Terrorist Attacks Dataset,Descriptive Statistics
conformal-calib,1641,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,4715,Students New MRW Score Dataset,Descriptive Statistics
conformal-calib,2013,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,6919,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,3272,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,1803,Video Games Sales Dataset,Distribution Compliance Test
conformal-calib,679,Students New MRW Score Dataset,Descriptive Statistics
conformal-calib,1838,Pokedex Dataset,Correlation Analysis
conformal-calib,6848,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,9843,Housing Price Dataset,Descriptive Statistics
conformal-calib,3,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,4519,Used Car Dataset,Descriptive Statistics
conformal-calib,6451,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,5294,Students Math-Reading-Writing Performance Dataset,Descriptive Statistics
conformal-calib,1570,Bank Customer Churn Prediction Dataset,Descriptive Statistics
conformal-calib,9021,Used Car Dataset,Variance Test
conformal-calib,3061,Crop Production Dataset,Variance Test
conformal-calib,6688,Crop Production Dataset,Variance Test
conformal-calib,4391,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,1255,Obesity or CVD Risk Dataset,Correlation Analysis
conformal-calib,5019,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,9441,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,5263,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,99,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,4641,Terrorist Attacks Dataset,Descriptive Statistics
conformal-calib,8832,Pokedex Dataset,Correlation Analysis
conformal-calib,7797,Exercise and Fitness Metrics Dataset,Descriptive Statistics
conformal-calib,9372,University Rank Dataset,Distribution Compliance Test
conformal-calib,4808,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,7386,Dataset for Admission in the University,Distribution Compliance Test
conformal-calib,10323,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,4705,Exercise and Fitness Metrics Dataset,Distribution Compliance Test
conformal-calib,6614,Advertising Budget and Sales Dataset,Correlation Analysis
conformal-calib,8716,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,7335,FIFA Official Dataset 2023,Distribution Compliance Test
conformal-calib,5384,Crop Production Dataset,Variance Test
conformal-calib,8894,Crop Production Dataset,Distribution Compliance Test
conformal-calib,722,Crop Production Dataset,Variance Test
conformal-calib,8002,Video Games Sales Dataset,Descriptive Statistics
conformal-calib,2981,Terrorist Attacks Dataset,Descriptive Statistics
conformal-calib,3030,Obesity or CVD Risk Dataset,Variance Test
conformal-calib,8598,Exercise and Fitness Metrics Dataset,Distribution Compliance Test
conformal-calib,6058,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,3107,Crop Production Dataset,Distribution Compliance Test
conformal-calib,9290,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,9395,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,4336,Student Performance Prediction Dataset,Variance Test
conformal-calib,3503,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,5756,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,4637,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,7908,Obesity or CVD Risk Dataset,Variance Test
conformal-calib,4082,Los Angeles Library Monthly Statistics,Descriptive Statistics
conformal-calib,10227,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,5244,Video Games Sales Dataset,Distribution Compliance Test
conformal-calib,1164,FIFA Official Dataset 2023,Variance Test
conformal-calib,375,Bank Customer Churn Prediction Dataset,Variance Test
conformal-calib,3907,Customer Personality Analysis Dataset,Descriptive Statistics
conformal-calib,5873,Monroe County Car Crach Dataset,Contingency Table Test
conformal-calib,8370,Crop Production Dataset,Variance Test
conformal-calib,4355,Terrorist Attacks Dataset,Descriptive Statistics
conformal-calib,1745,Student Information and Grades Dataset,Descriptive Statistics
conformal-calib,5313,FIFA Official Dataset 2023,Distribution Compliance Test
conformal-calib,298,US Christmas Tree Sales Dataset,Descriptive Statistics
conformal-calib,1659,Crop Production Dataset,Variance Test
conformal-calib,40,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,1404,Crop Production Dataset,Variance Test
conformal-calib,6528,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,2871,Fruits and Vegetables Prices Dataset,Descriptive Statistics
conformal-calib,8665,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,5652,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,3354,Obesity or CVD Risk Dataset,Distribution Compliance Test
conformal-calib,3685,Students New MRW Score Dataset,Descriptive Statistics
conformal-calib,2200,Pokedex Dataset,Contingency Table Test
conformal-calib,3587,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,5312,2023 Netflix Engagement Dataset,Descriptive Statistics
conformal-calib,1099,Obesity or CVD Risk Dataset,Distribution Compliance Test
conformal-calib,7806,Crop Production Dataset,Distribution Compliance Test
conformal-calib,6507,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,2047,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,10459,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,8780,Video Games Sales Dataset,Descriptive Statistics
conformal-calib,5915,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,4433,Rainfall Dataset of Barak Velly,Correlation Analysis
conformal-calib,1464,Student Information and Grades Dataset,Descriptive Statistics
conformal-calib,3479,Jobs and Salaries Dataset,Contingency Table Test
conformal-calib,5305,Los Angeles Library Monthly Statistics,Distribution Compliance Test
conformal-calib,6260,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,7162,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,1029,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,496,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,1106,Los Angeles Library Monthly Statistics,Descriptive Statistics
conformal-calib,9006,Crop Production Dataset,Variance Test
conformal-calib,3856,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,3754,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,5301,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,4487,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,8255,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,9064,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,5225,Salary Dataset by Job Title and Country,Distribution Compliance Test
conformal-calib,8804,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,8245,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,4936,FIFA Official Dataset 2023,Correlation Analysis
conformal-calib,8071,Used Car Dataset,Variance Test
conformal-calib,8341,Bank Customer Churn Prediction Dataset,Descriptive Statistics
conformal-calib,8784,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,9849,Used Car Dataset,Variance Test
conformal-calib,6290,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,7204,Pokedex Dataset,Distribution Compliance Test
conformal-calib,9604,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,2989,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,798,Housing Price Dataset,Descriptive Statistics
conformal-calib,3610,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,4590,Pokedex Dataset,Distribution Compliance Test
conformal-calib,8457,FIFA Official Dataset 2023,Distribution Compliance Test
conformal-calib,613,Used Car Dataset,Variance Test
conformal-calib,3240,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,2182,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,4020,Crop Production Dataset,Distribution Compliance Test
conformal-calib,7024,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,6958,GPA Study Hours Dataset,Descriptive Statistics
conformal-calib,6859,Used Car Dataset,Descriptive Statistics
conformal-calib,8426,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,8991,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,7468,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,3175,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,9497,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,10273,Bank Customer Churn Prediction Dataset,Variance Test
conformal-calib,6836,Crop Production Dataset,Variance Test
conformal-calib,7769,Bank Customer Churn Prediction Dataset,Contingency Table Test
conformal-calib,3263,University Rank Dataset,Variance Test
conformal-calib,6952,Fruits and Vegetables Prices Dataset,Descriptive Statistics
conformal-calib,9232,Pokedex Dataset,Distribution Compliance Test
conformal-calib,1536,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,8160,Student Performance Prediction Dataset,Variance Test
conformal-calib,4776,Los Angeles Library Monthly Statistics,Distribution Compliance Test
conformal-calib,8840,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,9046,Pokedex Dataset,Variance Test
conformal-calib,8699,Pokedex Dataset,Distribution Compliance Test
conformal-calib,4667,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,531,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,1012,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,925,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,7188,Raman Ratings Dataset,Descriptive Statistics
conformal-calib,967,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,9595,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,10125,Bank Customer Churn Prediction Dataset,Distribution Compliance Test
conformal-calib,1543,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,2710,Crop Production Dataset,Variance Test
conformal-calib,8595,Income and Happiness Score Dataset,Distribution Compliance Test
conformal-calib,1360,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,3863,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,3438,US Christmas Tree Sales Dataset,Variance Test
conformal-calib,7058,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,1053,Crop Production Dataset,Variance Test
conformal-calib,2099,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,579,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,1903,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,8715,Heart Failure Prediction Dataset,Correlation Analysis
conformal-calib,4847,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,1955,Crop Production Dataset,Variance Test
conformal-calib,8929,Pokedex Dataset,Descriptive Statistics
conformal-calib,2538,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,10308,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,3348,Crop Production Dataset,Variance Test
conformal-calib,5599,Crop Production Dataset,Variance Test
conformal-calib,4700,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,9927,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,8921,Crop Production Dataset,Descriptive Statistics
conformal-calib,8824,Pokedex Dataset,Variance Test
conformal-calib,9647,Terrorist Attacks Dataset,Descriptive Statistics
conformal-calib,6373,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,5752,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,4061,Income and Happiness Score Dataset,Variance Test
conformal-calib,8334,Rainfall Dataset of Barak Velly,Descriptive Statistics
conformal-calib,8855,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,272,Used Car Dataset,Variance Test
